timestamp,vendor,category,amount,account,is_fraud
2024-01-29 14:14:00,Delta Insurance,Marketing,2564.8,Operations,0
2023-07-13 12:40:00,City Water Authority,IT Services,3413.36,Capital Projects,0
2023-11-02 12:30:00,Tech Solutions LLC,IT Services,1955.29,Operations,0
2023-04-12 13:02:00,Central IT Services,Facilities,2652.59,Operations,0
2023-09-10 11:25:00,Regional Gas & Fuel,Maintenance,1747.67,Capital Projects,0
2023-09-28 17:08:00,Metro Electric Co.,Professional Services,7649.86,IT Budget,0
2023-12-20 12:33:00,Allied Security Systems,Utilities,2182.11,Capital Projects,0
2023-05-28 09:15:00,Premier Janitorial Services,Facilities,2108.42,IT Budget,0
2023-08-05 09:18:00,Lakefront Catering,Facilities,2584.25,Capital Projects,0
2023-05-10 17:31:00,Blue Sky Marketing,Office Supplies,1430.99,Capital Projects,0
2023-01-25 13:24:00,Pacific Payroll Partners,Marketing,4188.46,IT Budget,0
2023-01-17 14:13:00,Pine Ridge Construction,IT Services,7654.65,Operations,0
2023-06-08 13:55:00,Tech Solutions LLC,IT Services,1879.38,General Fund,0
2023-06-18 15:11:00,City Water Authority,IT Services,5145.45,IT Budget,0
2023-10-29 16:34:00,Blue Sky Marketing,Office Supplies,356.63,Capital Projects,0
2023-12-05 15:46:00,Delta Insurance,Marketing,1622.85,IT Budget,0
2023-09-16 12:08:00,Greenfield Landscaping,Office Supplies,1013.86,IT Budget,0
2023-06-11 14:30:00,Acme Office Supplies,IT Services,2640.07,Capital Projects,0
2023-08-16 09:18:00,Metro Electric Co.,Professional Services,7713.26,Capital Projects,0
2023-05-22 14:16:00,Pine Ridge Construction,IT Services,7336.35,Operations,0
2023-01-03 16:03:00,Greenfield Landscaping,Office Supplies,1184.55,Capital Projects,0
2023-07-04 09:33:00,Blue Sky Marketing,Office Supplies,594.74,Operations,0
2023-06-22 14:38:00,Urban Transit Authority,Office Supplies,1056.09,General Fund,0
2023-09-21 09:13:00,Summit Law Offices,Office Supplies,1060.95,General Fund,0
2023-12-21 17:25:00,Urban Transit Authority,Office Supplies,1391.63,Capital Projects,0
2023-03-02 16:14:00,Metro Electric Co.,Professional Services,4108.34,General Fund,0
2023-01-21 16:18:00,Blue Sky Marketing,Office Supplies,1063.95,Capital Projects,0
2023-05-07 17:42:00,Central IT Services,Facilities,2006.76,Capital Projects,0
2023-02-05 10:26:00,Blue Sky Marketing,Office Supplies,270.27,Capital Projects,0
2023-06-22 17:40:00,Greenfield Landscaping,Office Supplies,1042.27,IT Budget,0
2023-02-18 10:00:00,Greenfield Landscaping,Office Supplies,286.26,Operations,0
2023-11-09 14:48:00,Tech Solutions LLC,IT Services,16738.44,Capital Projects,1
2023-04-27 17:34:00,Valley Plumbing,Consulting,9672.78,IT Budget,0
